ref	query	chrom	ref_start	ref_end	source	block_no	ref_assembly	block_size	ref_chrom	bin_size_mbp
landmark	lancer	chr1A	435000000	460000000	nucmer	58	landmark	25000000	chr1A__ldm	5
stanley	paragon	chr1A	475000000	500000000	nucmer	59	stanley	25000000	chr1A__sta	5
arina	julius	chr1A	45000000	65000000	nucmer	60	arina	20000000	chr1A__ari	5
arina	paragon	chr1A	50000000	70000000	nucmer	61	arina	20000000	chr1A__ari	5
arina	mattis	chr1A	25000000	45000000	nucmer	50	arina	20000000	chr1A__ari	5
jagger	landmark	chr1A	30000000	50000000	nucmer	62	jagger	20000000	chr1A__jag	5
jagger	weebil	chr1A	550000000	570000000	nucmer	63	jagger	20000000	chr1A__jag	5
julius	arina	chr1A	40000000	60000000	nucmer	60	julius	20000000	chr1A__jul	5
julius	weebil	chr1A	395000000	415000000	nucmer	64	julius	20000000	chr1A__jul	5
lancer	landmark	chr1A	515000000	535000000	nucmer	65	lancer	20000000	chr1A__lac	5
landmark	lancer	chr1A	510000000	530000000	nucmer	65	landmark	20000000	chr1A__ldm	5
mattis	cadenza	chr1A	50000000	70000000	nucmer	66	mattis	20000000	chr1A__sym	5
mattis	robigus	chr1A	550000000	570000000	nucmer	67	mattis	20000000	chr1A__sym	5
arina	julius	chr1A	470000000	485000000	nucmer	68	arina	15000000	chr1A__ari	5
arina	robigus	chr1A	585000000	600000000	nucmer	69	arina	15000000	chr1A__ari	5
arina	stanley	chr1A	470000000	485000000	nucmer	70	arina	15000000	chr1A__ari	5
arina	mattis	chr1A	470000000	485000000	nucmer	71	arina	15000000	chr1A__ari	5
julius	arina	chr1A	460000000	475000000	nucmer	68	julius	15000000	chr1A__jul	5
julius	claire	chr1A	350000000	365000000	nucmer	72	julius	15000000	chr1A__jul	5
julius	paragon	chr1A	430000000	445000000	nucmer	73	julius	15000000	chr1A__jul	5
julius	stanley	chr1A	340000000	355000000	nucmer	74	julius	15000000	chr1A__jul	5
julius	weebil	chr1A	350000000	365000000	nucmer	75	julius	15000000	chr1A__jul	5
landmark	jagger	chr1A	35000000	50000000	nucmer	62	landmark	15000000	chr1A__ldm	5
landmark	stanley	chr1A	0	15000000	nucmer	76	landmark	15000000	chr1A__ldm	5
mace	cadenza	chr1A	330000000	345000000	nucmer	77	mace	15000000	chr1A__mac	5
stanley	arina	chr1A	465000000	480000000	nucmer	70	stanley	15000000	chr1A__sta	5
stanley	julius	chr1A	345000000	360000000	nucmer	74	stanley	15000000	chr1A__sta	5
stanley	landmark	chr1A	0	15000000	nucmer	76	stanley	15000000	chr1A__sta	5
mattis	arina	chr1A	470000000	485000000	nucmer	71	mattis	15000000	chr1A__sym	5
arina	claire	chr1A	475000000	485000000	nucmer	78	arina	10000000	chr1A__ari	5
arina	robigus	chr1A	475000000	485000000	nucmer	79	arina	10000000	chr1A__ari	5
chinese	landmark	chr1A	20000000	30000000	nucmer	80	chinese	10000000	chr1A__chi	5
jagger	landmark	chr1A	525000000	535000000	nucmer	81	jagger	10000000	chr1A__jag	5
jagger	robigus	chr1A	575000000	585000000	nucmer	82	jagger	10000000	chr1A__jag	5
jagger	weebil	chr1A	0	10000000	nucmer	83	jagger	10000000	chr1A__jag	5
julius	mattis	chr1A	10000000	20000000	nucmer	84	julius	10000000	chr1A__jul	5
lancer	cadenza	chr1A	495000000	505000000	nucmer	85	lancer	10000000	chr1A__lac	5
lancer	landmark	chr1A	40000000	50000000	nucmer	86	lancer	10000000	chr1A__lac	5
lancer	paragon	chr1A	535000000	545000000	nucmer	87	lancer	10000000	chr1A__lac	5
lancer	mattis	chr1A	510000000	520000000	nucmer	88	lancer	10000000	chr1A__lac	5
landmark	chinese	chr1A	20000000	30000000	nucmer	80	landmark	10000000	chr1A__ldm	5
landmark	claire	chr1A	5000000	15000000	nucmer	89	landmark	10000000	chr1A__ldm	5
landmark	jagger	chr1A	520000000	530000000	nucmer	81	landmark	10000000	chr1A__ldm	5
landmark	lancer	chr1A	40000000	50000000	nucmer	86	landmark	10000000	chr1A__ldm	5
landmark	paragon	chr1A	30000000	40000000	nucmer	90	landmark	10000000	chr1A__ldm	5
mace	weebil	chr1A	515000000	525000000	nucmer	91	mace	10000000	chr1A__mac	5
stanley	lancer	chr1A	5000000	15000000	nucmer	12	stanley	10000000	chr1A__sta	5
mattis	cadenza	chr1A	340000000	350000000	nucmer	92	mattis	10000000	chr1A__sym	5
mattis	lancer	chr1A	515000000	525000000	nucmer	88	mattis	10000000	chr1A__sym	5
mattis	robigus	chr1A	340000000	350000000	nucmer	93	mattis	10000000	chr1A__sym	5
arina	claire	chr1A	215000000	220000000	nucmer	94	arina	5000000	chr1A__ari	5
arina	paragon	chr1A	165000000	170000000	nucmer	95	arina	5000000	chr1A__ari	5
arina	paragon	chr1A	480000000	485000000	nucmer	96	arina	5000000	chr1A__ari	5
arina	paragon	chr1A	560000000	565000000	nucmer	97	arina	5000000	chr1A__ari	5
arina	robigus	chr1A	165000000	170000000	nucmer	98	arina	5000000	chr1A__ari	5
arina	robigus	chr1A	215000000	220000000	nucmer	99	arina	5000000	chr1A__ari	5
arina	mattis	chr1A	5000000	10000000	nucmer	50	arina	5000000	chr1A__ari	5
arina	weebil	chr1A	165000000	170000000	nucmer	100	arina	5000000	chr1A__ari	5
arina	weebil	chr1A	215000000	220000000	nucmer	101	arina	5000000	chr1A__ari	5
chinese	robigus	chr1A	590000000	595000000	nucmer	102	chinese	5000000	chr1A__chi	5
jagger	claire	chr1A	585000000	590000000	nucmer	103	jagger	5000000	chr1A__jag	5
jagger	julius	chr1A	405000000	410000000	nucmer	104	jagger	5000000	chr1A__jag	5
jagger	lancer	chr1A	10000000	15000000	nucmer	105	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	30000000	35000000	nucmer	106	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	50000000	55000000	nucmer	107	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	160000000	165000000	nucmer	108	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	245000000	250000000	nucmer	109	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	405000000	410000000	nucmer	110	jagger	5000000	chr1A__jag	5
jagger	paragon	chr1A	595000000	600000000	nucmer	111	jagger	5000000	chr1A__jag	5
jagger	robigus	chr1A	20000000	25000000	nucmer	112	jagger	5000000	chr1A__jag	5
jagger	weebil	chr1A	30000000	35000000	nucmer	113	jagger	5000000	chr1A__jag	5
julius	cadenza	chr1A	210000000	215000000	nucmer	114	julius	5000000	chr1A__jul	5
julius	claire	chr1A	30000000	35000000	nucmer	115	julius	5000000	chr1A__jul	5
julius	claire	chr1A	240000000	245000000	nucmer	116	julius	5000000	chr1A__jul	5
julius	claire	chr1A	330000000	335000000	nucmer	117	julius	5000000	chr1A__jul	5
julius	jagger	chr1A	400000000	405000000	nucmer	104	julius	5000000	chr1A__jul	5
julius	landmark	chr1A	400000000	405000000	nucmer	118	julius	5000000	chr1A__jul	5
julius	paragon	chr1A	400000000	405000000	nucmer	119	julius	5000000	chr1A__jul	5
julius	mattis	chr1A	45000000	50000000	nucmer	120	julius	5000000	chr1A__jul	5
lancer	cadenza	chr1A	405000000	410000000	nucmer	121	lancer	5000000	chr1A__lac	5
lancer	cadenza	chr1A	540000000	545000000	nucmer	122	lancer	5000000	chr1A__lac	5
lancer	claire	chr1A	35000000	40000000	nucmer	123	lancer	5000000	chr1A__lac	5
lancer	jagger	chr1A	10000000	15000000	nucmer	105	lancer	5000000	chr1A__lac	5
lancer	jagger	chr1A	525000000	530000000	nucmer	32	lancer	5000000	chr1A__lac	5
lancer	mace	chr1A	5000000	10000000	nucmer	124	lancer	5000000	chr1A__lac	5
lancer	paragon	chr1A	160000000	165000000	nucmer	125	lancer	5000000	chr1A__lac	5
lancer	paragon	chr1A	405000000	410000000	nucmer	126	lancer	5000000	chr1A__lac	5
lancer	stanley	chr1A	545000000	550000000	nucmer	41	lancer	5000000	chr1A__lac	5
lancer	stanley	chr1A	575000000	580000000	nucmer	127	lancer	5000000	chr1A__lac	5
lancer	weebil	chr1A	25000000	30000000	nucmer	128	lancer	5000000	chr1A__lac	5
lancer	weebil	chr1A	530000000	535000000	nucmer	129	lancer	5000000	chr1A__lac	5
lancer	weebil	chr1A	590000000	595000000	nucmer	130	lancer	5000000	chr1A__lac	5
landmark	cadenza	chr1A	375000000	380000000	nucmer	131	landmark	5000000	chr1A__ldm	5
landmark	julius	chr1A	395000000	400000000	nucmer	118	landmark	5000000	chr1A__ldm	5
landmark	paragon	chr1A	0	5000000	nucmer	132	landmark	5000000	chr1A__ldm	5
landmark	paragon	chr1A	350000000	355000000	nucmer	133	landmark	5000000	chr1A__ldm	5
landmark	paragon	chr1A	405000000	410000000	nucmer	134	landmark	5000000	chr1A__ldm	5
landmark	paragon	chr1A	535000000	540000000	nucmer	135	landmark	5000000	chr1A__ldm	5
landmark	mattis	chr1A	515000000	520000000	nucmer	136	landmark	5000000	chr1A__ldm	5
landmark	weebil	chr1A	20000000	25000000	nucmer	137	landmark	5000000	chr1A__ldm	5
mace	cadenza	chr1A	405000000	410000000	nucmer	138	mace	5000000	chr1A__mac	5
mace	cadenza	chr1A	435000000	440000000	nucmer	139	mace	5000000	chr1A__mac	5
mace	claire	chr1A	495000000	500000000	nucmer	140	mace	5000000	chr1A__mac	5
mace	lancer	chr1A	0	5000000	nucmer	124	mace	5000000	chr1A__mac	5
mace	paragon	chr1A	30000000	35000000	nucmer	141	mace	5000000	chr1A__mac	5
mace	paragon	chr1A	50000000	55000000	nucmer	142	mace	5000000	chr1A__mac	5
mace	paragon	chr1A	160000000	165000000	nucmer	143	mace	5000000	chr1A__mac	5
mace	paragon	chr1A	245000000	250000000	nucmer	144	mace	5000000	chr1A__mac	5
mace	paragon	chr1A	550000000	555000000	nucmer	145	mace	5000000	chr1A__mac	5
mace	robigus	chr1A	495000000	500000000	nucmer	146	mace	5000000	chr1A__mac	5
norin61	cadenza	chr1A	520000000	525000000	nucmer	147	norin61	5000000	chr1A__nor	5
norin61	paragon	chr1A	520000000	525000000	nucmer	148	norin61	5000000	chr1A__nor	5
norin61	weebil	chr1A	540000000	545000000	nucmer	149	norin61	5000000	chr1A__nor	5
stanley	lancer	chr1A	570000000	575000000	nucmer	127	stanley	5000000	chr1A__sta	5
stanley	paragon	chr1A	45000000	50000000	nucmer	150	stanley	5000000	chr1A__sta	5
stanley	paragon	chr1A	100000000	105000000	nucmer	151	stanley	5000000	chr1A__sta	5
stanley	paragon	chr1A	585000000	590000000	nucmer	152	stanley	5000000	chr1A__sta	5
stanley	weebil	chr1A	585000000	590000000	nucmer	153	stanley	5000000	chr1A__sta	5
mattis	cadenza	chr1A	15000000	20000000	nucmer	154	mattis	5000000	chr1A__sym	5
mattis	cadenza	chr1A	560000000	565000000	nucmer	155	mattis	5000000	chr1A__sym	5
mattis	claire	chr1A	165000000	170000000	nucmer	156	mattis	5000000	chr1A__sym	5
mattis	claire	chr1A	250000000	255000000	nucmer	157	mattis	5000000	chr1A__sym	5
mattis	claire	chr1A	340000000	345000000	nucmer	158	mattis	5000000	chr1A__sym	5
mattis	claire	chr1A	585000000	590000000	nucmer	159	mattis	5000000	chr1A__sym	5
mattis	julius	chr1A	15000000	20000000	nucmer	84	mattis	5000000	chr1A__sym	5
mattis	julius	chr1A	50000000	55000000	nucmer	120	mattis	5000000	chr1A__sym	5
mattis	landmark	chr1A	520000000	525000000	nucmer	136	mattis	5000000	chr1A__sym	5
mattis	paragon	chr1A	20000000	25000000	nucmer	160	mattis	5000000	chr1A__sym	5
mattis	paragon	chr1A	450000000	455000000	nucmer	161	mattis	5000000	chr1A__sym	5
mattis	weebil	chr1A	165000000	170000000	nucmer	162	mattis	5000000	chr1A__sym	5
mattis	weebil	chr1A	250000000	255000000	nucmer	163	mattis	5000000	chr1A__sym	5
mattis	weebil	chr1A	345000000	350000000	nucmer	164	mattis	5000000	chr1A__sym	5
robigus	lancer	chr1A	35000000	465000000	nucmer	4	lancer	430000000	chr1A__lac	5
claire	mace	chr1A	35000000	465000000	nucmer	5	mace	430000000	chr1A__mac	5
robigus	mace	chr1A	35000000	465000000	nucmer	6	mace	430000000	chr1A__mac	5
claire	jagger	chr1A	50000000	465000000	nucmer	7	jagger	415000000	chr1A__jag	5
robigus	jagger	chr1A	50000000	465000000	nucmer	8	jagger	415000000	chr1A__jag	5
claire	lancer	chr1A	55000000	465000000	nucmer	9	lancer	410000000	chr1A__lac	5
weebil	jagger	chr1A	50000000	445000000	nucmer	10	jagger	395000000	chr1A__jag	5
weebil	lancer	chr1A	55000000	445000000	nucmer	11	lancer	390000000	chr1A__lac	5
claire	stanley	chr1A	5000000	385000000	nucmer	13	stanley	380000000	chr1A__sta	5
robigus	stanley	chr1A	30000000	385000000	nucmer	14	stanley	355000000	chr1A__sta	5
weebil	stanley	chr1A	40000000	385000000	nucmer	15	stanley	345000000	chr1A__sta	5
weebil	mace	chr1A	180000000	445000000	nucmer	17	mace	265000000	chr1A__mac	5
paragon	mattis	chr1A	50000000	265000000	nucmer	18	mattis	215000000	chr1A__sym	5
cadenza	julius	chr1A	290000000	430000000	nucmer	21	julius	140000000	chr1A__jul	5
weebil	mace	chr1A	50000000	165000000	nucmer	22	mace	115000000	chr1A__mac	5
claire	julius	chr1A	460000000	535000000	nucmer	23	julius	75000000	chr1A__jul	5
robigus	julius	chr1A	460000000	535000000	nucmer	24	julius	75000000	chr1A__jul	5
claire	landmark	chr1A	395000000	470000000	nucmer	26	landmark	75000000	chr1A__ldm	5
robigus	landmark	chr1A	395000000	470000000	nucmer	27	landmark	75000000	chr1A__ldm	5
weebil	landmark	chr1A	390000000	445000000	nucmer	30	landmark	55000000	chr1A__ldm	5
robigus	arina	chr1A	520000000	570000000	nucmer	31	arina	50000000	chr1A__ari	5
paragon	julius	chr1A	0	50000000	nucmer	34	julius	50000000	chr1A__jul	5
claire	arina	chr1A	520000000	565000000	nucmer	35	arina	45000000	chr1A__ari	5
cadenza	jagger	chr1A	325000000	370000000	nucmer	36	jagger	45000000	chr1A__jag	5
cadenza	jagger	chr1A	390000000	435000000	nucmer	37	jagger	45000000	chr1A__jag	5
cadenza	julius	chr1A	15000000	60000000	nucmer	38	julius	45000000	chr1A__jul	5
robigus	julius	chr1A	385000000	430000000	nucmer	39	julius	45000000	chr1A__jul	5
claire	mattis	chr1A	470000000	515000000	nucmer	42	mattis	45000000	chr1A__sym	5
robigus	mattis	chr1A	470000000	515000000	nucmer	43	mattis	45000000	chr1A__sym	5
claire	julius	chr1A	390000000	430000000	nucmer	44	julius	40000000	chr1A__jul	5
cadenza	landmark	chr1A	400000000	440000000	nucmer	45	landmark	40000000	chr1A__ldm	5
robigus	stanley	chr1A	465000000	505000000	nucmer	46	stanley	40000000	chr1A__sta	5
cadenza	stanley	chr1A	325000000	360000000	nucmer	48	stanley	35000000	chr1A__sta	5
claire	stanley	chr1A	470000000	505000000	nucmer	49	stanley	35000000	chr1A__sta	5
cadenza	arina	chr1A	50000000	80000000	nucmer	51	arina	30000000	chr1A__ari	5
cadenza	lancer	chr1A	325000000	355000000	nucmer	52	lancer	30000000	chr1A__lac	5
paragon	mattis	chr1A	475000000	505000000	nucmer	54	mattis	30000000	chr1A__sym	5
paragon	julius	chr1A	470000000	495000000	nucmer	56	julius	25000000	chr1A__jul	5
robigus	julius	chr1A	330000000	355000000	nucmer	57	julius	25000000	chr1A__jul	5
paragon	stanley	chr1A	475000000	500000000	nucmer	59	stanley	25000000	chr1A__sta	5
paragon	arina	chr1A	50000000	70000000	nucmer	61	arina	20000000	chr1A__ari	5
weebil	jagger	chr1A	550000000	570000000	nucmer	63	jagger	20000000	chr1A__jag	5
weebil	julius	chr1A	395000000	415000000	nucmer	64	julius	20000000	chr1A__jul	5
cadenza	mattis	chr1A	50000000	70000000	nucmer	66	mattis	20000000	chr1A__sym	5
robigus	mattis	chr1A	550000000	570000000	nucmer	67	mattis	20000000	chr1A__sym	5
robigus	arina	chr1A	585000000	600000000	nucmer	69	arina	15000000	chr1A__ari	5
claire	julius	chr1A	350000000	365000000	nucmer	72	julius	15000000	chr1A__jul	5
paragon	julius	chr1A	430000000	445000000	nucmer	73	julius	15000000	chr1A__jul	5
weebil	julius	chr1A	350000000	365000000	nucmer	75	julius	15000000	chr1A__jul	5
cadenza	mace	chr1A	330000000	345000000	nucmer	77	mace	15000000	chr1A__mac	5
claire	arina	chr1A	475000000	485000000	nucmer	78	arina	10000000	chr1A__ari	5
robigus	arina	chr1A	475000000	485000000	nucmer	79	arina	10000000	chr1A__ari	5
robigus	jagger	chr1A	575000000	585000000	nucmer	82	jagger	10000000	chr1A__jag	5
weebil	jagger	chr1A	0	10000000	nucmer	83	jagger	10000000	chr1A__jag	5
cadenza	lancer	chr1A	495000000	505000000	nucmer	85	lancer	10000000	chr1A__lac	5
paragon	lancer	chr1A	535000000	545000000	nucmer	87	lancer	10000000	chr1A__lac	5
claire	landmark	chr1A	5000000	15000000	nucmer	89	landmark	10000000	chr1A__ldm	5
paragon	landmark	chr1A	30000000	40000000	nucmer	90	landmark	10000000	chr1A__ldm	5
weebil	mace	chr1A	515000000	525000000	nucmer	91	mace	10000000	chr1A__mac	5
cadenza	mattis	chr1A	340000000	350000000	nucmer	92	mattis	10000000	chr1A__sym	5
robigus	mattis	chr1A	340000000	350000000	nucmer	93	mattis	10000000	chr1A__sym	5
claire	arina	chr1A	215000000	220000000	nucmer	94	arina	5000000	chr1A__ari	5
paragon	arina	chr1A	165000000	170000000	nucmer	95	arina	5000000	chr1A__ari	5
paragon	arina	chr1A	480000000	485000000	nucmer	96	arina	5000000	chr1A__ari	5
paragon	arina	chr1A	560000000	565000000	nucmer	97	arina	5000000	chr1A__ari	5
robigus	arina	chr1A	165000000	170000000	nucmer	98	arina	5000000	chr1A__ari	5
robigus	arina	chr1A	215000000	220000000	nucmer	99	arina	5000000	chr1A__ari	5
weebil	arina	chr1A	165000000	170000000	nucmer	100	arina	5000000	chr1A__ari	5
weebil	arina	chr1A	215000000	220000000	nucmer	101	arina	5000000	chr1A__ari	5
robigus	chinese	chr1A	590000000	595000000	nucmer	102	chinese	5000000	chr1A__chi	5
claire	jagger	chr1A	585000000	590000000	nucmer	103	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	30000000	35000000	nucmer	106	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	50000000	55000000	nucmer	107	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	160000000	165000000	nucmer	108	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	245000000	250000000	nucmer	109	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	405000000	410000000	nucmer	110	jagger	5000000	chr1A__jag	5
paragon	jagger	chr1A	595000000	600000000	nucmer	111	jagger	5000000	chr1A__jag	5
robigus	jagger	chr1A	20000000	25000000	nucmer	112	jagger	5000000	chr1A__jag	5
weebil	jagger	chr1A	30000000	35000000	nucmer	113	jagger	5000000	chr1A__jag	5
cadenza	julius	chr1A	210000000	215000000	nucmer	114	julius	5000000	chr1A__jul	5
claire	julius	chr1A	30000000	35000000	nucmer	115	julius	5000000	chr1A__jul	5
claire	julius	chr1A	240000000	245000000	nucmer	116	julius	5000000	chr1A__jul	5
claire	julius	chr1A	330000000	335000000	nucmer	117	julius	5000000	chr1A__jul	5
paragon	julius	chr1A	400000000	405000000	nucmer	119	julius	5000000	chr1A__jul	5
cadenza	lancer	chr1A	405000000	410000000	nucmer	121	lancer	5000000	chr1A__lac	5
cadenza	lancer	chr1A	540000000	545000000	nucmer	122	lancer	5000000	chr1A__lac	5
claire	lancer	chr1A	35000000	40000000	nucmer	123	lancer	5000000	chr1A__lac	5
paragon	lancer	chr1A	160000000	165000000	nucmer	125	lancer	5000000	chr1A__lac	5
paragon	lancer	chr1A	405000000	410000000	nucmer	126	lancer	5000000	chr1A__lac	5
weebil	lancer	chr1A	25000000	30000000	nucmer	128	lancer	5000000	chr1A__lac	5
weebil	lancer	chr1A	530000000	535000000	nucmer	129	lancer	5000000	chr1A__lac	5
weebil	lancer	chr1A	590000000	595000000	nucmer	130	lancer	5000000	chr1A__lac	5
cadenza	landmark	chr1A	375000000	380000000	nucmer	131	landmark	5000000	chr1A__ldm	5
paragon	landmark	chr1A	0	5000000	nucmer	132	landmark	5000000	chr1A__ldm	5
paragon	landmark	chr1A	350000000	355000000	nucmer	133	landmark	5000000	chr1A__ldm	5
paragon	landmark	chr1A	405000000	410000000	nucmer	134	landmark	5000000	chr1A__ldm	5
paragon	landmark	chr1A	535000000	540000000	nucmer	135	landmark	5000000	chr1A__ldm	5
